"","Diospyro","Alchorne","Uapaca","Pycnanth","Syzygium","Amaranth","Cassia.t","Ligulifl","Sapotace","Grewia.t","Graminea","Elaeis.g","Tubulifl","Bridelia","Celastra","Indeterm","Indeterm.1","Rhizopho","Tetrorch","Cyperace","Acanthac","Monocoty","Dodonaea","Macarang","Ficus","Podocarp","Rubiacea","Allophyl","Typha","Monolete","Triletes","Brachyst","Combretu","Artemisi","Ephedra","Euphorbi","Hymenoca","Iodes","Nymphaea","Spermaco","Anthocer","Pteris.t","Lygodium","Pinus","Achyrant","Detarium","Papilion","Parkia","Phoenix","Lophira","Polygonu","Umbellif","Urticace","Tribulus","Ceratopt","Acacia.g","Celtis","Combreta","Euphorbi.1","Labiatae","Lannea.t","Rhamnace","Apocynac","Maerua.t","Vernonia","Acacia.g.1","Ilex","Polygala","Protea","Zanthoxy","Trema","Aerva.la","Alternan","Ceiba","Polycarp","Combretu.1","Ambrosia","Tetracer","Anthoste","Erythroc","Securine","Chrysoba","Mitracar","Mitragyn","Spores.i","Triletes.1","Hygrophi","Cordia","Isoberli","Caryophy","Cornulac","Farsetia","Juniperu","Erica","Micrococ","Phyllant","Malpighi","Hibiscus","Mimosoid","Prosopis","Morus","Musanga","Borassus","Lotus.ar","Canthium","Canthium.1","Gardenia","Mitragyn.1","Pavetta","Lycopodi","Lycopodi.1","Polycarp.1","Aphania","Blighia","Avicenni","Bombax.c","Copaifer","Monotes","Cissampe","Chron1"
"5",0,1,1,0,4,5,0,0,0,0,87,0,0,0,1,3,6,14,0,45,0,0,0,0,0,4,0,0,45,31,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6692.3076171875
"25",0,1,3,0,2,1,1,0,0,0,14,3,2,0,0,0,5,0,0,9,0,0,0,1,0,0,0,0,0,65,5,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,7244.89794921875
"47",0,2,1,0,2,0,0,0,0,0,17,1,0,2,0,16,2,39,0,46,0,0,0,2,0,2,0,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,5,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7693.87744140625
"73",0,4,2,0,0,0,0,0,0,0,8,2,0,0,0,0,5,33,0,5,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8305.5556640625
"95",1,11,1,0,3,0,1,0,2,0,161,0,0,0,0,14,29,302,0,96,0,4,0,2,0,2,0,0,87,12,1,0,4,0,0,0,1,0,6,0,2,0,0,1,0,1,0,0,3,2,0,1,0,2,0,0,0,2,1,0,1,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,8916.6669921875
"125",0,2,0,0,4,3,0,0,0,0,33,0,0,0,0,12,13,22,0,48,0,0,1,1,0,1,0,0,3,72,4,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9591.2412109375
"145",0,1,0,0,0,3,0,0,0,0,16,0,2,0,0,1,7,25,0,23,0,0,0,0,0,1,0,0,1,32,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10029.197265625
"175",0,5,1,0,5,5,0,0,3,0,37,0,0,1,0,11,20,13,0,82,0,1,0,4,0,1,2,0,0,222,0,0,2,0,0,1,0,0,0,0,2,5,0,4,0,0,1,1,0,2,0,0,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10686.1318359375
"200",0,4,4,0,2,2,0,0,1,0,23,1,0,2,1,6,18,31,0,34,0,4,0,0,0,2,0,0,1,99,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11233.576171875
"225",0,4,0,0,1,1,0,0,1,0,10,0,0,0,0,4,13,7,0,22,0,0,0,0,0,1,0,0,0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11781.021484375
"247",0,9,0,1,1,3,0,0,0,0,20,2,0,0,0,12,17,9,4,43,0,1,0,0,0,6,0,0,0,156,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,2,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,12266.6669921875
"276",0,1,1,0,1,1,0,1,1,0,15,0,2,0,0,13,10,1,1,38,0,1,0,0,0,2,1,0,0,116,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12911.111328125
"296",0,0,0,0,0,1,0,0,1,0,14,0,1,0,0,5,3,1,0,21,0,0,0,0,0,0,0,0,0,46,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13355.5556640625
"324",0,3,1,0,2,1,0,0,1,0,26,1,1,1,0,5,13,12,1,50,0,0,0,1,0,1,0,0,0,69,9,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13977.77734375
"350",0,3,1,1,1,4,0,0,2,0,20,0,1,1,0,10,16,19,0,35,0,0,0,0,0,2,0,0,1,77,2,0,0,0,2,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14555.5556640625
"375",0,2,3,0,1,0,0,0,1,0,18,2,0,1,0,5,16,10,0,33,0,1,0,1,0,7,0,0,0,72,8,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15322.5810546875
"394",0,4,1,0,3,2,0,0,2,0,24,1,0,0,0,12,0,12,1,33,1,0,0,3,1,1,0,0,0,52,5,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16548.38671875
"423",0,3,2,2,1,4,0,0,2,0,19,1,0,0,0,4,19,7,0,32,0,0,0,0,0,7,1,0,0,114,6,0,0,1,1,0,0,0,0,0,2,5,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17423.076171875
"453",1,0,0,1,1,2,0,0,0,0,5,0,0,0,0,10,17,4,2,19,0,0,0,0,0,2,0,0,0,82,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18000
"475",0,3,1,0,3,1,0,0,2,0,4,0,0,0,1,8,9,20,3,22,0,0,0,4,0,1,0,0,0,108,11,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,19113.923828125
"495",1,13,1,0,1,0,0,0,0,0,12,2,1,0,0,0,17,26,1,6,0,2,0,1,0,4,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,20126.58203125
"534",0,1,1,1,0,1,0,0,2,1,13,1,0,0,0,5,9,16,2,50,0,0,0,0,0,3,0,0,0,56,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,22101.265625
